timestamp,src_ip,src_port,dst_ip,dst_port,protocol,flow_duration_us,fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,flow_bytes_per_sec,flow_pkts_per_sec,syn_count,fin_count,rst_count,ack_count,psh_count,avg_pkt_size,init_win_fwd,init_win_bwd,label
19/05/2024 10:26:23,192.168.1.13,10809,10.0.0.9,22,6,4690865,12,3,17700,4038,4634.11,3.2,1,1,0,37,3,411,65535,65535,BENIGN
19/05/2024 08:44:41,192.168.1.18,41985,10.0.0.5,8080,6,9050276,10,35,5450,49420,6062.8,4.97,1,1,0,42,4,375,65535,65535,BENIGN
19/05/2024 09:38:42,192.168.1.25,43546,10.0.0.14,22,6,1996774,13,6,6838,2472,4662.52,9.52,1,1,0,31,9,1021,65535,65535,BENIGN
19/05/2024 10:19:35,192.168.1.15,38084,10.0.0.11,22,6,2819990,14,14,4270,14826,6771.66,9.93,1,1,0,24,6,947,65535,65535,BENIGN
19/05/2024 08:53:34,192.168.1.27,45114,10.0.0.15,8080,6,465247,30,19,6180,12274,39664.95,105.32,1,1,0,42,3,246,65535,65535,BENIGN
19/05/2024 08:59:08,192.168.1.28,18790,10.0.0.16,80,6,1347353,48,20,62976,27080,66839.2,50.47,1,1,0,47,2,383,65535,65535,BENIGN
19/05/2024 08:25:20,203.0.113.42,36374,192.168.1.14,51545,6,1894,1,0,63,0,0.0,527.98,1,0,1,0,0,54,1024,0,PortScan
19/05/2024 12:14:55,192.168.1.13,57145,10.0.0.7,3389,6,2187766,27,32,28215,32320,27669.78,26.97,1,1,0,5,7,1000,65535,65535,BENIGN
19/05/2024 11:55:37,192.168.1.21,47390,198.51.100.99,443,6,242057013,6,5,334,126,1.2394,0.0248,1,1,0,7,4,111,65535,65535,Botnet
19/05/2024 12:05:38,203.0.113.42,30298,192.168.1.14,25599,6,1577,1,0,70,0,0.0,634.12,1,0,1,0,0,54,1024,0,PortScan
19/05/2024 09:32:08,203.0.113.42,44432,192.168.1.26,65499,6,1827,1,0,63,0,0.0,547.35,1,0,1,0,0,54,1024,0,PortScan
19/05/2024 08:36:00,192.168.1.26,40988,10.0.0.17,22,6,6205194,28,21,27804,21777,7990.24,7.9,1,1,0,26,2,1008,65535,65535,BENIGN
19/05/2024 10:45:10,192.168.1.21,8296,10.0.0.2,5432,6,6233596,34,5,32232,4750,5932.69,6.26,1,1,0,16,10,921,65535,65535,BENIGN
19/05/2024 10:12:25,192.168.1.22,50362,10.0.0.15,443,6,3825978,32,21,32224,10563,11183.28,13.85,1,1,0,13,7,284,65535,65535,BENIGN
19/05/2024 09:38:15,192.168.1.29,58595,10.0.0.9,443,6,6351562,26,14,11258,14280,4020.74,6.3,1,1,0,30,9,478,65535,65535,BENIGN
19/05/2024 08:50:42,192.168.1.13,1363,10.0.0.5,22,6,6926774,46,33,54142,20064,10712.92,11.41,1,1,0,23,7,492,65535,65535,BENIGN
19/05/2024 11:02:10,192.168.1.13,44554,10.0.0.17,8080,6,8429067,10,18,14280,8100,2655.1,3.32,1,1,0,25,7,1052,65535,65535,BENIGN
19/05/2024 10:35:18,203.0.113.42,25662,192.168.1.29,8514,6,1444,1,0,76,0,0.0,692.52,1,0,1,0,0,54,1024,0,PortScan
19/05/2024 11:55:13,192.168.1.22,39841,10.0.0.16,22,6,4446322,5,35,2590,16030,4187.73,9.0,1,1,0,14,8,781,65535,65535,BENIGN
19/05/2024 08:15:21,192.168.1.22,62724,10.0.0.13,53,6,1375009,42,18,17136,14706,23157.67,43.64,1,1,0,48,3,1015,65535,65535,BENIGN
19/05/2024 09:26:20,192.168.1.25,6996,10.0.0.9,5432,6,3201792,28,27,26768,15714,13268.19,17.18,1,1,0,33,2,469,65535,65535,BENIGN
19/05/2024 08:24:19,192.168.1.24,45431,10.0.0.10,22,6,1339197,33,25,46299,20300,49730.55,43.31,1,1,0,45,8,906,65535,65535,BENIGN
19/05/2024 09:21:54,192.168.1.17,7586,10.0.0.6,53,6,4145872,22,37,6908,24013,7458.26,14.23,1,1,0,41,8,563,65535,65535,BENIGN
19/05/2024 12:11:16,192.168.1.18,3532,10.0.0.15,22,6,7984747,14,16,11970,21808,4230.32,3.76,1,1,0,7,8,263,65535,65535,BENIGN
19/05/2024 09:18:16,192.168.1.14,7120,10.0.0.9,80,6,3983465,38,29,36556,33002,17461.68,16.82,1,1,0,10,3,717,65535,65535,BENIGN
19/05/2024 09:11:31,192.168.1.10,54574,10.0.0.11,443,6,7185252,49,11,57722,3795,8561.56,8.35,1,1,0,19,8,291,65535,65535,BENIGN
19/05/2024 11:59:41,192.168.1.21,35683,10.0.0.19,3306,6,4097208,46,20,28980,27920,13887.51,16.11,1,1,0,29,3,1108,65535,65535,BENIGN
19/05/2024 10:39:54,192.168.1.23,12037,198.51.100.99,8443,6,159301615,6,3,324,142,1.8832,0.0377,1,1,0,8,2,68,65535,65535,Botnet
19/05/2024 09:55:59,192.168.1.29,64138,198.51.100.99,443,6,182073441,5,6,102,146,1.6477,0.033,1,1,0,5,5,92,65535,65535,Botnet
19/05/2024 11:40:39,192.168.1.29,62256,10.0.0.7,5432,6,7278640,12,17,7644,7072,2021.81,3.98,1,1,0,27,7,377,65535,65535,BENIGN
19/05/2024 10:31:20,192.168.1.28,41200,10.0.0.10,80,6,5863748,39,3,45240,3387,8292.82,7.16,1,1,0,37,9,787,65535,65535,BENIGN
19/05/2024 11:50:37,203.0.113.42,49039,192.168.1.16,55580,6,1759,1,0,54,0,0.0,568.5,1,0,1,0,0,54,1024,0,PortScan
19/05/2024 09:07:00,192.168.1.15,61230,10.0.0.10,443,6,2347270,25,10,17200,8250,10842.38,14.91,1,1,0,12,4,582,65535,65535,BENIGN
19/05/2024 10:34:10,192.168.1.13,4466,198.51.100.99,443,6,184558059,5,5,254,201,1.6255,0.0325,1,1,0,9,6,74,65535,65535,Botnet
19/05/2024 08:05:51,192.168.1.11,25860,10.0.0.6,80,6,6650190,21,32,16464,34112,7605.2,7.97,1,1,0,49,10,877,65535,65535,BENIGN
19/05/2024 08:07:55,203.0.113.42,14827,192.168.1.19,39639,6,1569,1,0,61,0,0.0,637.35,1,0,1,0,0,54,1024,0,PortScan
19/05/2024 10:43:41,192.168.1.12,32467,10.0.0.1,8080,6,2814601,50,32,68400,44640,40162.0,29.13,1,1,0,6,9,674,65535,65535,BENIGN
19/05/2024 08:02:17,192.168.1.29,35700,10.0.0.15,8080,6,9381590,5,10,6495,7460,1487.49,1.6,1,1,0,46,7,314,65535,65535,BENIGN
19/05/2024 08:56:21,203.0.113.42,18617,192.168.1.15,22,6,2081957,29,9,3335,576,1642.69,18.25,29,0,9,8,0,90,8192,8192,BruteForce-SSH
19/05/2024 11:36:28,203.0.113.42,3125,192.168.1.27,11642,6,1792,1,0,78,0,0.0,558.04,1,0,1,0,0,54,1024,0,PortScan
19/05/2024 09:17:28,203.0.113.42,14175,192.168.1.15,80,6,20109,1654,2,97586,124,4112586.4,82251.73,1654,0,3,0,0,51,1024,0,DoS
19/05/2024 08:14:12,192.168.1.22,38011,10.0.0.19,80,6,1508404,46,30,21942,34350,37318.91,50.38,1,1,0,16,2,466,65535,65535,BENIGN
19/05/2024 10:24:37,192.168.1.20,5363,10.0.0.12,22,6,4805338,6,24,5808,35592,8615.42,6.24,1,1,0,39,4,784,65535,65535,BENIGN
19/05/2024 08:53:19,192.168.1.13,48007,10.0.0.7,3389,6,1625747,37,31,11581,34968,28632.38,41.83,1,1,0,13,10,625,65535,65535,BENIGN
19/05/2024 10:40:25,192.168.1.11,48026,10.0.0.6,3389,6,1576750,45,22,41040,23254,40776.28,42.49,1,1,0,5,10,441,65535,65535,BENIGN
19/05/2024 11:03:37,192.168.1.27,57230,10.0.0.8,3389,6,6617462,5,28,3615,22848,3998.97,4.99,1,1,0,10,5,504,65535,65535,BENIGN
19/05/2024 10:54:38,192.168.1.25,51147,10.0.0.9,8080,6,6814837,27,33,38745,33924,10663.35,8.8,1,1,0,36,10,485,65535,65535,BENIGN
19/05/2024 11:47:24,203.0.113.42,46788,192.168.1.24,57052,6,922,1,0,48,0,0.0,1084.6,1,0,1,0,0,54,1024,0,PortScan
19/05/2024 08:18:11,192.168.1.12,33251,10.0.0.13,443,6,9780808,45,6,22950,3030,2656.22,5.21,1,1,0,41,6,287,65535,65535,BENIGN
19/05/2024 10:24:57,192.168.1.29,57686,10.0.0.4,8080,6,5376424,50,5,37800,5235,8004.39,10.23,1,1,0,10,9,1098,65535,65535,BENIGN
19/05/2024 08:27:11,192.168.1.14,43944,10.0.0.14,443,6,8309880,44,29,33968,7743,5019.45,8.78,1,1,0,49,7,422,65535,65535,BENIGN
19/05/2024 10:10:36,192.168.1.19,20706,10.0.0.1,53,6,3704128,25,4,19125,5332,6602.63,7.83,1,1,0,37,10,784,65535,65535,BENIGN
19/05/2024 10:37:13,192.168.1.20,60309,198.51.100.99,80,6,214253818,2,6,351,202,1.4002,0.028,1,1,0,7,5,114,65535,65535,Botnet
19/05/2024 11:15:19,203.0.113.42,64570,192.168.1.15,22,6,2243781,10,15,1130,1665,1002.77,11.14,10,0,15,12,0,90,8192,8192,BruteForce-SSH
19/05/2024 09:15:57,192.168.1.15,11333,10.0.0.12,8080,6,1826457,41,10,27347,12420,21772.75,27.92,1,1,0,5,2,1079,65535,65535,BENIGN
19/05/2024 09:15:18,192.168.1.15,1854,10.0.0.4,22,6,290431,15,34,13650,43214,195791.77,168.71,1,1,0,38,6,370,65535,65535,BENIGN
19/05/2024 10:53:14,192.168.1.13,2256,10.0.0.3,3389,6,7335132,7,15,2940,4005,946.81,3.0,1,1,0,47,10,807,65535,65535,BENIGN
19/05/2024 08:10:22,192.168.1.16,3932,10.0.0.9,5432,6,128374,38,37,22914,34965,450862.32,584.23,1,1,0,32,3,1171,65535,65535,BENIGN
19/05/2024 10:37:00,203.0.113.42,33641,192.168.1.15,80,6,10755,1837,5,73480,477,8540213.85,170804.28,1837,0,0,0,0,61,1024,0,DoS
19/05/2024 09:20:16,192.168.1.11,61587,10.0.0.6,5432,6,6726978,36,4,35388,4292,5898.64,5.95,1,1,0,16,7,419,65535,65535,BENIGN
19/05/2024 10:59:47,192.168.1.27,21559,198.51.100.99,443,6,171216635,5,4,363,196,1.7522,0.035,1,1,0,9,6,71,65535,65535,Botnet
19/05/2024 08:16:43,192.168.1.27,24080,10.0.0.11,3389,6,4645223,24,19,16128,8493,5300.28,9.26,1,1,0,17,7,322,65535,65535,BENIGN
19/05/2024 09:10:56,192.168.1.19,58330,10.0.0.6,8080,6,1665985,46,26,32752,9568,25402.39,43.22,1,1,0,28,4,253,65535,65535,BENIGN
19/05/2024 08:17:07,192.168.1.15,15204,10.0.0.7,3389,6,4738893,42,36,59724,28044,18520.78,16.46,1,1,0,11,5,503,65535,65535,BENIGN
19/05/2024 09:23:26,192.168.1.19,12670,10.0.0.5,80,6,9710573,30,39,7980,22308,3119.07,7.11,1,1,0,43,7,1143,65535,65535,BENIGN
19/05/2024 10:25:58,192.168.1.19,38874,10.0.0.1,8080,6,3620626,25,15,14850,11790,7357.84,11.05,1,1,0,22,10,526,65535,65535,BENIGN
19/05/2024 12:17:44,192.168.1.14,57835,10.0.0.7,3306,6,2025830,18,4,15660,1932,8683.85,10.86,1,1,0,19,3,945,65535,65535,BENIGN
19/05/2024 11:08:59,192.168.1.10,45674,10.0.0.10,443,6,6713071,28,40,11676,34480,6875.54,10.13,1,1,0,14,2,283,65535,65535,BENIGN
19/05/2024 11:19:05,203.0.113.42,22509,192.168.1.15,22,6,2666155,28,14,3136,1526,1417.77,15.75,28,0,14,10,0,90,8192,8192,BruteForce-SSH
19/05/2024 09:25:54,203.0.113.42,12219,192.168.1.15,80,6,42824,1097,0,60335,432,1280823.84,25616.48,1097,0,0,0,0,49,1024,0,DoS
19/05/2024 09:40:42,192.168.1.16,61986,10.0.0.4,5432,6,3716991,34,15,30328,6300,9854.21,13.18,1,1,0,31,2,1148,65535,65535,BENIGN
19/05/2024 09:59:27,192.168.1.22,30562,10.0.0.9,22,6,9686664,13,39,8684,15756,2523.06,5.37,1,1,0,22,5,768,65535,65535,BENIGN
19/05/2024 10:18:00,192.168.1.11,26412,10.0.0.18,80,6,3285160,23,31,23345,25513,14872.33,16.44,1,1,0,23,9,370,65535,65535,BENIGN
19/05/2024 08:55:26,192.168.1.28,42049,10.0.0.6,5432,6,9425626,36,6,32580,5880,4080.37,4.46,1,1,0,38,7,913,65535,65535,BENIGN
19/05/2024 11:28:06,203.0.113.42,53980,192.168.1.25,28309,6,149,1,0,77,0,0.0,6711.41,1,0,1,0,0,54,1024,0,PortScan
19/05/2024 09:54:50,192.168.1.11,42986,10.0.0.6,3389,6,7464728,5,15,6305,11775,2422.06,2.68,1,1,0,17,2,1002,65535,65535,BENIGN
19/05/2024 11:21:14,203.0.113.42,38395,192.168.1.15,80,6,35193,887,3,49672,459,1260193.79,25203.88,887,0,0,0,0,43,1024,0,DoS
19/05/2024 08:21:48,192.168.1.16,38497,10.0.0.8,5432,6,4018527,31,5,26381,5840,8018.11,8.96,1,1,0,50,8,595,65535,65535,BENIGN
19/05/2024 08:16:20,192.168.1.20,32976,10.0.0.6,53,6,6052975,21,24,16212,34080,8308.64,7.43,1,1,0,49,6,769,65535,65535,BENIGN
19/05/2024 11:38:00,192.168.1.12,43379,10.0.0.10,3389,6,5918033,49,22,49000,32010,13688.67,12.0,1,1,0,16,8,455,65535,65535,BENIGN
19/05/2024 11:09:42,203.0.113.42,43205,192.168.1.15,80,6,19543,1161,0,48762,280,2970373.02,59407.46,1161,0,3,0,0,42,1024,0,DoS
19/05/2024 09:33:40,192.168.1.27,51022,198.51.100.99,443,6,242458898,4,2,213,170,1.2373,0.0247,1,1,0,5,4,86,65535,65535,Botnet
19/05/2024 12:02:52,192.168.1.22,30256,10.0.0.5,53,6,7379693,28,12,33068,4692,5116.74,5.42,1,1,0,36,4,670,65535,65535,BENIGN
19/05/2024 09:05:45,192.168.1.25,29739,10.0.0.4,3389,6,5450413,9,22,2619,9570,2236.34,5.69,1,1,0,6,7,863,65535,65535,BENIGN
19/05/2024 10:49:15,192.168.1.28,15582,10.0.0.17,8080,6,3383564,6,8,7812,8896,4937.99,4.14,1,1,0,48,3,1199,65535,65535,BENIGN
19/05/2024 10:51:41,203.0.113.42,18893,192.168.1.15,3467,6,839,1,0,66,0,0.0,1191.9,1,0,1,0,0,54,1024,0,PortScan
19/05/2024 10:27:31,203.0.113.42,15690,192.168.1.15,22,6,1102812,29,16,3422,1328,3672.43,40.8,29,0,16,11,0,90,8192,8192,BruteForce-SSH
19/05/2024 12:08:16,192.168.1.22,11825,10.0.0.13,80,6,6332368,46,30,27508,22560,7906.68,12.0,1,1,0,11,3,279,65535,65535,BENIGN
19/05/2024 08:42:55,192.168.1.20,47524,10.0.0.12,443,6,9327420,39,21,31746,10962,4578.76,6.43,1,1,0,50,4,1012,65535,65535,BENIGN
19/05/2024 11:58:33,192.168.1.17,45477,10.0.0.2,3306,6,7308583,43,3,46827,3549,6892.72,6.29,1,1,0,23,6,697,65535,65535,BENIGN
19/05/2024 10:20:00,192.168.1.19,8728,10.0.0.6,22,6,3503286,5,19,1125,21641,6498.47,6.85,1,1,0,36,9,756,65535,65535,BENIGN
19/05/2024 11:37:07,192.168.1.14,28445,10.0.0.18,3389,6,1253651,29,16,13514,9936,18705.37,35.9,1,1,0,24,8,1037,65535,65535,BENIGN
19/05/2024 12:14:40,192.168.1.25,7558,10.0.0.18,3389,6,8545004,42,5,33306,5305,4518.55,5.5,1,1,0,18,5,995,65535,65535,BENIGN
19/05/2024 11:35:49,203.0.113.42,51495,192.168.1.15,22,6,2251909,16,22,1408,2508,1518.71,16.87,16,0,22,13,0,90,8192,8192,BruteForce-SSH
19/05/2024 08:21:23,192.168.1.26,57648,10.0.0.5,443,6,4734662,31,24,38409,17928,11898.84,11.62,1,1,0,5,6,943,65535,65535,BENIGN
19/05/2024 09:53:59,192.168.1.23,24986,10.0.0.19,8080,6,6768174,18,29,23940,38889,9283.01,6.94,1,1,0,35,4,579,65535,65535,BENIGN
19/05/2024 08:46:39,192.168.1.21,25006,10.0.0.13,80,6,6820644,8,39,10800,23322,5002.75,6.89,1,1,0,28,10,495,65535,65535,BENIGN
19/05/2024 12:12:12,192.168.1.27,64304,10.0.0.6,5432,6,6050750,49,39,48804,8580,9483.78,14.54,1,1,0,40,5,279,65535,65535,BENIGN
19/05/2024 10:21:53,203.0.113.42,14724,192.168.1.15,22,6,744043,13,24,845,2160,4475.55,49.73,13,0,24,14,0,90,8192,8192,BruteForce-SSH
19/05/2024 09:16:51,192.168.1.23,22113,10.0.0.8,53,6,7083626,25,20,8975,27400,5135.08,6.35,1,1,0,28,3,714,65535,65535,BENIGN
19/05/2024 11:53:51,192.168.1.21,12270,10.0.0.18,5432,6,101435,20,22,5880,27786,331897.27,414.06,1,1,0,23,10,655,65535,65535,BENIGN
19/05/2024 09:51:51,192.168.1.26,40303,10.0.0.13,80,6,4855579,10,16,11190,23072,7056.21,5.35,1,1,0,35,9,374,65535,65535,BENIGN
19/05/2024 11:08:55,192.168.1.16,64700,10.0.0.19,80,6,8925074,41,14,43132,4998,5392.67,6.16,1,1,0,20,9,893,65535,65535,BENIGN
19/05/2024 09:06:32,192.168.1.15,26493,203.0.113.42,53,6,36343182,1041,4,1458248,556,40139.69,28.75,1,1,0,1041,520,1400,65535,65535,Infiltration
19/05/2024 09:00:07,192.168.1.22,52830,10.0.0.5,443,6,8501909,27,6,10800,6570,2043.07,3.88,1,1,0,19,3,548,65535,65535,BENIGN
19/05/2024 10:28:30,192.168.1.15,49479,10.0.0.3,3389,6,2018019,42,32,36372,42752,39208.75,36.67,1,1,0,11,9,380,65535,65535,BENIGN
19/05/2024 10:35:14,192.168.1.11,2577,198.51.100.99,8443,6,84680301,2,6,211,233,3.5427,0.0709,1,1,0,9,2,105,65535,65535,Botnet
19/05/2024 09:57:25,203.0.113.42,41564,192.168.1.15,22,6,1993287,14,11,938,1298,1128.79,12.54,14,0,11,6,0,90,8192,8192,BruteForce-SSH
19/05/2024 11:47:25,192.168.1.26,63352,10.0.0.9,53,6,6281227,33,33,41382,34518,12083.63,10.51,1,1,0,47,5,203,65535,65535,BENIGN
19/05/2024 11:30:36,203.0.113.42,19642,192.168.1.15,22,6,1230423,17,16,1802,1136,2413.8,26.82,17,0,16,10,0,90,8192,8192,BruteForce-SSH
19/05/2024 10:39:45,203.0.113.42,23132,192.168.1.15,22,6,2186146,20,11,2060,1056,1276.22,14.18,20,0,11,13,0,90,8192,8192,BruteForce-SSH
19/05/2024 11:43:04,192.168.1.21,25778,10.0.0.13,22,6,7997261,33,30,40722,43440,10523.85,7.88,1,1,0,32,4,1039,65535,65535,BENIGN
19/05/2024 09:08:14,192.168.1.25,6441,10.0.0.6,80,6,3799871,23,5,17526,3300,5480.71,7.37,1,1,0,39,6,372,65535,65535,BENIGN
19/05/2024 12:17:02,192.168.1.16,7621,10.0.0.13,3389,6,468376,31,7,37076,10367,101292.55,81.13,1,1,0,9,5,903,65535,65535,BENIGN
19/05/2024 10:20:26,203.0.113.42,58872,192.168.1.15,80,6,33339,987,1,57246,337,1480248.36,29604.97,987,0,3,0,0,54,1024,0,DoS
19/05/2024 08:14:25,192.168.1.15,30823,203.0.113.42,80,6,32649278,2628,5,3680341,484,112738.33,80.64,1,1,0,2628,1314,1400,65535,65535,Infiltration
19/05/2024 08:31:02,192.168.1.21,37486,10.0.0.5,80,6,9939251,40,38,35000,17100,5241.84,7.85,1,1,0,31,7,1094,65535,65535,BENIGN
19/05/2024 08:54:33,192.168.1.23,16796,10.0.0.1,53,6,1228954,11,5,12254,7120,15764.63,13.02,1,1,0,48,2,450,65535,65535,BENIGN
19/05/2024 08:06:44,192.168.1.15,63989,10.0.0.2,443,6,3217625,9,7,6129,7182,4136.9,4.97,1,1,0,12,5,792,65535,65535,BENIGN
19/05/2024 08:18:27,192.168.1.22,60563,10.0.0.15,3389,6,5088757,42,30,34650,40920,14850.38,14.15,1,1,0,44,2,824,65535,65535,BENIGN
19/05/2024 08:11:23,192.168.1.29,30870,10.0.0.3,5432,6,9758155,17,27,20604,27486,4928.19,4.51,1,1,0,20,4,871,65535,65535,BENIGN
19/05/2024 09:02:47,192.168.1.16,21614,10.0.0.16,22,6,6781351,25,21,37400,25305,9246.68,6.78,1,1,0,41,5,533,65535,65535,BENIGN
19/05/2024 11:11:04,192.168.1.19,65523,10.0.0.5,22,6,5140020,20,36,21500,28980,9820.97,10.89,1,1,0,41,2,764,65535,65535,BENIGN
19/05/2024 09:12:51,203.0.113.42,43269,192.168.1.15,22,6,853364,17,25,1666,2450,4429.53,49.22,17,0,25,14,0,90,8192,8192,BruteForce-SSH
19/05/2024 11:53:56,192.168.1.20,60713,10.0.0.17,3306,6,9129656,37,16,14874,4656,2139.18,5.81,1,1,0,20,2,392,65535,65535,BENIGN
19/05/2024 11:57:56,192.168.1.23,24566,10.0.0.1,53,6,1956661,17,21,4794,9933,7526.6,19.42,1,1,0,30,8,961,65535,65535,BENIGN
19/05/2024 11:33:20,203.0.113.42,43317,192.168.1.17,17408,6,255,1,0,62,0,0.0,3921.57,1,0,1,0,0,54,1024,0,PortScan
19/05/2024 09:01:38,192.168.1.12,29510,10.0.0.6,8080,6,7164924,24,33,8568,30987,5520.64,7.96,1,1,0,21,5,938,65535,65535,BENIGN
19/05/2024 11:37:01,203.0.113.42,4789,192.168.1.15,80,6,25159,1561,0,70245,167,3102269.57,62045.39,1561,0,3,0,0,52,1024,0,DoS
19/05/2024 09:24:34,192.168.1.23,58993,10.0.0.6,5432,6,8372543,29,25,38222,24200,7455.56,6.45,1,1,0,11,9,1007,65535,65535,BENIGN
19/05/2024 10:51:18,192.168.1.25,25482,10.0.0.4,80,6,4454311,15,40,4785,19960,5555.29,12.35,1,1,0,25,9,1099,65535,65535,BENIGN
19/05/2024 08:40:46,192.168.1.18,50391,10.0.0.2,53,6,4900144,27,6,23733,4554,5772.69,6.73,1,1,0,12,7,647,65535,65535,BENIGN
19/05/2024 12:11:58,192.168.1.18,55454,10.0.0.6,80,6,1650906,32,24,25856,12864,23453.79,33.92,1,1,0,17,7,1164,65535,65535,BENIGN
19/05/2024 09:52:55,192.168.1.25,23995,10.0.0.13,443,6,7238527,13,19,15301,12844,3888.22,4.42,1,1,0,10,6,812,65535,65535,BENIGN
19/05/2024 12:04:00,192.168.1.15,22765,10.0.0.10,3389,6,2692303,20,6,26260,4482,11418.48,9.66,1,1,0,45,10,326,65535,65535,BENIGN
19/05/2024 10:03:15,203.0.113.42,12204,192.168.1.26,54954,6,158,1,0,42,0,0.0,6329.11,1,0,1,0,0,54,1024,0,PortScan
19/05/2024 09:20:54,192.168.1.25,58877,10.0.0.14,3389,6,1123059,10,20,9840,9620,17327.67,26.71,1,1,0,31,5,858,65535,65535,BENIGN
19/05/2024 11:04:53,192.168.1.14,52970,10.0.0.14,3306,6,7674743,35,11,25655,6105,4138.25,5.99,1,1,0,48,7,1018,65535,65535,BENIGN
19/05/2024 08:15:40,192.168.1.21,29098,10.0.0.18,3306,6,1256902,37,24,8325,25440,26863.67,48.53,1,1,0,36,3,643,65535,65535,BENIGN
19/05/2024 11:52:14,192.168.1.28,45478,10.0.0.4,22,6,6417557,32,13,10080,5148,2372.87,7.01,1,1,0,27,9,383,65535,65535,BENIGN
19/05/2024 10:38:23,192.168.1.25,64263,10.0.0.18,3389,6,375453,7,24,2198,21384,62809.46,82.57,1,1,0,7,8,321,65535,65535,BENIGN
19/05/2024 11:22:06,192.168.1.12,65235,10.0.0.4,443,6,9189547,15,21,7410,12054,2118.06,3.92,1,1,0,21,3,357,65535,65535,BENIGN
19/05/2024 10:52:38,192.168.1.26,47721,10.0.0.18,443,6,7101908,34,7,14892,3276,2558.19,5.77,1,1,0,6,9,556,65535,65535,BENIGN
19/05/2024 10:52:48,192.168.1.14,59333,10.0.0.15,3306,6,2989156,50,22,12900,9724,7568.69,24.09,1,1,0,19,4,1077,65535,65535,BENIGN
19/05/2024 11:46:58,203.0.113.42,24696,192.168.1.15,22,6,2171309,22,9,1804,1035,1284.94,14.28,22,0,9,10,0,90,8192,8192,BruteForce-SSH
